en1	fi1	en2	fi2	score
A person is on a baseball team.	Henkilö on baseball-joukkueessa.	A person is playing basketball on a team.	Henkilö pelaa koripalloa joukkueessa.	2.400000
Our current vehicles will be in museums when everyone has their own aircraft.	Nykyiset ajoneuvomme ovat museoissa, kun jokaisella on oma lentokoneensa.	The car needs to some work	Auto tarvitsee hieman korjausta.	0.200000
A woman supervisor is instructing the male workers.	Naisohjaaja ohjeistaa miestyöntekijöitä.	A woman is working as a nurse.	Nainen työskentelee sairaanhoitajana.	1.000000
A bike is next to a couple women.	Pyörä on parin naisen vieressä.	A child next to a bike.	Lapsi polkupyörän vieressä.	2.000000
The group is eating while taking in a breathtaking view.	Ryhmä syö henkeäsalpaavalla näköalalla.	A group of people take a look at an unusual tree.	Ryhmä ihmisiä katsomaan epätavallista puuta.	2.200000
The boy is raising his hand.	Poika nostaa kättään.	The man is raising his hand.	Mies nostaa kättään.	3.400000
A man with a gray beard is being shaved in front of a lecture hall	Harmaapartaista miestä sheivataan luentosalin edessä.	A man with a beard is sitting in the grass.	Mies, jolla on parta, istuu ruoholla.	0.800000
The sky has very little to no clouds.	Taivaalla on hyvin vähän tai ei lainkaan pilviä.	This Lady might be ready for Rock Climbing, or just watching the Clouds, above.	Tämä nainen voi olla valmis kalliokiipeilyyn tai vain katselemaan pilviä.	0.400000
The young boy jumps barefoot outside in the front yard.	Nuori poika hyppii paljain jaloin ulkona etupihalla.	The teen rode his bike around the people walking in the courtyard.	Teini ajoi pyörällään sisäpihalla kävelevien ihmisten ympärillä.	0.400000
There are dogs in the forest.	Metsässä on koiria.	The dogs are alone in the forest.	Koirat ovat yksin metsässä.	4.000000
Some cyclists stop near a sign.	Pyöräilijät pysähtyvät kyltin vieressä.	Two men stop to talk near a sign outside.	Kaksi miestä pysähtyvät juttelemaan kyltin lähellä ulkopuolella.	3.400000
These cooks in the white are busy in the kitchen making dinner for their customers.	Nämä kokit valkoisissa ovat kiireisiä keittiössä valmistaessaan illallista asiakkailleen 	The women are preparing dinner in their kitchen.	Naiset valmistavat illallista keittiössä.	3.000000
A young person  deep in thought.	Nuori ihminen syvällä ajatuksissa.	A young man deep in thought.	Nuori mies syvällä ajatuksissaan.	4.600000
A man is carrying a canoe with a dog.	Mies kantaa kanoottia koiran kanssa.	A dog is carrying a man in a canoe.	Koira kuljettaa miestä kanootissa.	1.800000
A man is performing labor.	Mies tekee työtä.	A man is performing today.	Mies esiintyy tänään.	2.800000
Two men wearing traditional clothing is standing outside.	Kaksi perinteisiin vaatteisiin pukeutunutta miestä seisoo ulkona.	Three women wearing black vests and gray shirts are talking outside of a building.	Kolme mustia liivejä ja harmaita paitoja käyttävää naista puhuu rakennuksen ulkopuolella.	2.000000
a woman watches a rap group live	nainen seuraa rap-ryhmää livenä	An audience watches a girl dance.	Yleisö seuraa tytön tanssia.	2.200000
A girl dancing on a sandy beach.	Tyttö tanssii hiekkarannalla.	A girl is on a sandy beach.	Tyttö on hiekkarannalla.	3.600000
a man wearing a gray hat fishing out of a fishing boat.	Harmaahattuinen mies kalastaa kalastusveneestä.	A man wearing a straw hat and fishing vest in a stream.	Mies olkihatussa ja kalastusliivissä virrassa.	2.600000
A little girl in an orange striped outfit is airborne whilst bouncing on a bed.	Pieni tyttö oranssiraidallisessa asussa on ilmassa ponnahtaessaan sängyltä.	A dog in a red shirt is chasing a squirrel through the glass.	Koira punaisessa paidassa jahtaa oravaa lasin läpi.	0.200000
A person is watching people ski down the hill.	Henkilö katsoo ihmisiä hiihtämässä mäkeä alas.	The woman is jumping a long distance while people watch.	Nainen hyppää pituutta ihmisten katsellessa.	1.400000
The yard has a dog.	Pihalla on koira.	The dog is running after another dog.	Koira juoksee toisen koiran perässä.	1.600000
The woman is drinking lemonade and watching T.V.	Nainen juo limonadia ja katselee TV:tä	The man is sitting drinking coffee.	Mies istuu juomassa kahvia.	0.400000
Three women cook.	Kolme naista laittaa ruokaa.	Two women cooking.	Kaksi naista kokkaamassa.	3.200000
The woman is kneeling next to a cat.	Nainen polvistuu kissan viereen.	A girl is standing next to a man.	Tyttö seisoo miehen vieressä.	0.200000
The young adult are cold	Nuori aikuinen on kylmä	Asian children are playing with a dog.	Aasian lapset leikkivät koiran kanssa.	0.200000
Three guys playing a pro game of basketball.	Kolme kaverusta pelaavat ammattilaiskoripallopeliä.	two guys playing a game of baseball.	kaksi kaveria pelaamassa baseballia.	2.400000
A sad man is jumping over a small stream to meet his companion on the other side.	Surullinen mies hyppää pienen puron yli tapaamaan toveriaan toisella puolella.	A man is jumping over a stream to meet his companion on the other side.	Mies hyppää puron yli tapaamaan toveriaan toisella puolella.	3.800000
The boys are earning their next belt in karate.	Pojat ansaitsevat seuraavan vyönsä karatessa.	Five girls and one boy are in their swimsuits all in the middle of jumping into the pool.	Viisi tyttöä ja yksi poika ovat uimapuvuissaan ovat hyppäämässä uima-altaaseen.	0.200000
A woman is digging in the sand.	Nainen kaivaa hiekkaa.	A man is buried in the sand.	Mies on haudattu hiekkaan.	1.400000
A woman drives a golf cart.	Nainen ajaa golfkärryä.	A man riding a cart.	Mies ajaa kärryä.	1.800000
A woman is bungee jumping.	Nainen benjihyppää.	A girl is bungee jumping.	Tyttö benjihyppää.	4.200000
A clown performs for brother and sister as the rest of the party watches.	Pelle esiintyy veljelle ja sisarelle muun juhlaseuran katsellessa.	A blond-haired child performing on the trumpet in front of a house while his younger brother watches.	Vaaleatukkainen lapsi soittaa trumpettia talon edessä hänen nuoremman veljensä katsellessa.	1.200000
A person filming the outdoors.	Henkilö on kuvaamassa ulkona.	There is a couple outdoors.	Pariskunta ulkona.	1.600000
A human riding a skateboard.	Ihminen kulkee rullalaudalla.	A child is riding a skateboard.	Lapsi rullalautailee.	3.800000
A woman in a plaid outfit is looking through a bag of produce.	Nainen ruudullisessa asussa katselee tuotepussin läpi.	This is the picture of a woman in a flowered dress, toting something in a bucket.	Tämä on kuva kukkamekkoon pukeutuneesta naisesta, joka kantaa jotain ämpärissä	1.000000
Four girls happily walk down a sidewalk.	Neljä tyttöä kävelee onnellisesti jalkakäytävää pitkin.	Three young girls walk down a sidewalk.	Kolme nuorta tyttöä kävelee jalkakäytävää pitkin.	3.400000
The tennis player hit the ball into outer space and broke the death star.	Tennispelaaja löi pallon ulkoavaruuteen ja rikkoi Kuolemantähden	A female tennis player is leaping into the air to hit the ball.	Naisennispelaaja hyppää ilmaan lyödäkseen palloa.	1.200000
A boy climbs a forest hill.	Poika kiipeää metsäkukkulaa.	A boy is climbing a hill.	Poika kiipeää mäkeä.	4.000000
a group of navy seals are singing	Ryhmä navy sealeja laulaa.	A group of military personnel are playing in a brass quintet.	Ryhmä sotilashenkilöstöä soittaa messinkikvintetissä.	2.400000
Blond boy jumping onto deck.	Vaalea poika hyppää kannelle.	A boy jumping down a wet inflatable slide.	Poika hyppää alas märkää puhallettavaa liukumäkeä.	2.000000
A man uses a chainsaw to sculpt a phallic ice sculpture.	Mies käyttää moottorisahaa veistääkseen fallosmaisen jääveistoksen.	A man is using a chainsaw to carve a wooden sculpture.	Mies käyttää moottorisahaa puuveistoksen tekemiseen.	2.600000
A group of male construction workers repair railroad tracks on a cloudy day	Ryhmä miespuolisia rakennustyöläisiä korjaa rautateitä pilvisenä päivänä	A crew of workers working on a railroad track.	Joukko työntekijöitä töissä rautatiellä.	3.800000
A man playing the violin in the rain.	Mies soittaa viulua sateessa.	A man playing the guitar in the rain.	Mies soittaa kitaraa sateessa.	3.200000
The people are leaving the airplane.	Ihmiset poistuvat lentokoneesta.	The people are entering the plane.	Ihmiset nousevat koneeseen.	2.200000
The dogs are chasing a cat.	Koirat jahtaavat kissaa.	The dogs are chasing a black cat.	Koirat jahtaavat mustaa kissaa.	4.400000
The girl has something on her head.	Tytöllä on jotain päässään.	The woman has something with her.	Naisella on jotain mukanaan.	2.600000
the tan dog is playing with the red dog out in the snow	Ruskea koira leikkii punaisen koiran kanssa lumessa.	A yellow dog is playing in the snow.	Keltainen koira leikkii lumessa.	2.600000
People making a structure out of cards.	Ihmisiä tekemässä rakennusta korteista. 	Two people are together and one is using a piece of clothing in a different way than intended.	Kaksi ihmistä on yhdessä ja toinen käyttää vaatetta eri tavalla kuin on tarkoitettu.	0.200000
a girl with vases in the background inside her house	Tyttö talossaan taustallaan vaaseja	The girl is standing as the other girl with glasses works on her hand painting.	Tyttö seisoo toisen silmälasipäisen tytön työskennellessä käsimaalauksensa kanssa.	0.200000
There are four people outside.	Ulkona on neljä ihmistä.	Five people are outside.	Viisi ihmistä on ulkona.	3.000000
A person sitting in an office takes a picture.	Toimistossa istuva henkilö ottaa kuvan.	A woman is sitting in an office.	Nainen istuu toimistossa.	3.200000
Girls are holding hands in blue clothes	Tytöt pitävät käsistä sinisissä vaatteissa.	The young people are wearing jeans with their red and green shirts.	Nuorilla on farkut punavihreiden paitojen kanssa.	1.800000
People rock jumping into water while people fish in the background.	Ihmiset hyppivät veteen kalliolta ihmisten kalastaessa taustalla.	Two people watching the water.	Kaksi ihmistä katselee vettä.	2.200000
A man is demonstrating how to work with clay while at least two people observe.	Mies näyttää kuinka käsitellä savea samalla vähintään kahden ihmisen tarkkaillessa.	At least one of the three women is talking to the others.	Ainakin yksi kolmesta naisesta puhuu muiden kanssa.	0.600000
A dog has a sweater on.	Koiralla on pusero päällä.	A man in a suit jacket is sitting on a red couch with a cat.	Mies puvun takissa istuu punaisella sohvalla kissan kanssa.	0.600000
A blonde woman looks for medical supplies for work in a suitcase.	Vaalea nainen etsii lääkintätarvikkeita työhön matkalaukusta.	The blond woman is searching for medical supplies in a suitcase.	Vaalea nainen etsii lääkintätarvikkeita matkalaukusta.	5.000000
A boy is at school taking a test.	Poika on koulussa tekemässä koetta.	The boy is taking a test at school.	Poika tekee kokeen koulussa.	5.000000
An old man wearing a hat stands outside a shop door.	Vanha mies, jolla on hattu, seisoo kaupan oven ulkopuolella.	a man in an oversized shirt sits at a shop	mies ylisuuressa paidassa istuu kaupassa	2.200000
Sculptor applying concrete to large statue of human figure standing with no head.	Kuvanveistäjä levittää betonia suurelle seisovaa ihmishahmoa esittävälle päättömälle patsaalle.	A person is standing in front of a building holding aloft some plywood	Henkilö seisoo rakennuksen edessä pidellen vaneria korkealla	0.200000
A boy with dark hair is in water and is looking up.	Tummahiuksinen poika on vedessä ja katsoo ylös.	The man is short hair.	Mies on lyhythiuksinen.	0.600000
A pole is behind a person that is playing peekaboo with a child.	Pylväs on henkilön takana, joka pelaa peekaboa lapsen kanssa.	There is a child with a ball	On lapsi, jolla on pallo	0.200000
A woman is about to paint.	Nainen on maalaamassa.	A boy is about to take a picture.	Poika on ottamassa kuvaa.	1.000000
The carriage is drawn by a horse.	Vaunua vetää hevonen.	A man riding on a bicycle by side of building.	Mies pyöräilee rakennuksen vieressä.	0.400000
a man working at the steel mill	mies työskentelee terästehtaalla	A man working in a foundry.	Mies työskentelee valimossa.	3.400000
The young woman is flirting with the young boy.	Nuori nainen flirttailee nuorelle pojalle.	The girl is young and cheery.	Tyttö on nuori ja iloinen.	1.400000
A woman looks at a duck as she walks behind it.	Nainen katsoo ankkaa kävellessään sen perässä.	A woman is going on a walk with her dog.	Nainen käy kävelyllä koiransa kanssa.	1.000000
the men are about to score in a water polo tournament	miehet ovat tekemässä maalin vesipalloturnauksessa	The two men are about to compete in a match.	Nämä kaksi miestä aikovat kilpaotella.	2.000000
Man sitting on a bench drink from a mug surrounded by rugs.	Mies istuu penkillä juoden mukista mattojen ympäröimänä.	A man is sitting on one of two red benches and staring into a kiosk.	Mies istuu yhdellä kahdesta punaisesta penkistä ja tuijottaa kioskia.	2.200000
A man eats popcorn while watching cartoons late one night.	Mies syö popcornia katsellen piirrettyjä myöhään eräänä iltana.	A man and a girl are watching cartoons at home	Mies ja tyttö katsovat piirrettyjä kotona	2.800000
Three men sit on a bench.	Kolme miestä istuu penkillä.	two men sit on a bench.	kaksi miestä istuu penkillä.	3.200000
The road is long.	Tie on pitkä.	There is nothing on the side of the road.	Tien reunalla ei ole mitään.	0.800000
A small blond boy slides head first down a blue playground slide toward another blond youth.	Pieni vaalea poika liukuu pää edellä sinistä leikkiliukumäkeä pitkin kohti toista vaaleaa nuorta.	A young boy with his hair standing up, is sliding down a blue slide	Nuori poika, jonka hiukset ovat pystyssä, liukuu sinistä liukumäkeä pitkin	2.000000
The four women are practicing for a upcoming match.	Neljä naista harjoittavat tulevaa ottelua varten.	The women are in a play	Naiset ovat näytelmässä	1.200000
a young man wearing a white t-shirt and green and black shorts standing on a stump.	nuori mies yllään valkoinen t-paita ja vihreämustat shortsit seisomassa kannolla.	A man wearing a white shirt and red and black shorts is running on the sidewalk.	Mies, jolla on valkoinen paita ja punamustat shortsit, juoksee jalkakäytävällä.	1.800000
man on steps	mies portailla	A man sits on steps.	Mies istuu portailla.	4.000000
A dog under the stairs	Koira portaiden alla	A dog is resting on the stairs.	Koira lepää portailla.	2.200000
There is a young girl.	On nuori tyttö.	There is a young boy with the woman.	Naisen kanssa on nuori poika.	1.000000
Two women give a demonstration at a Renaissance Fair.	Kaksi naista pitää esittelyn renessanssimessuilla.	Two people are doing a demonstration at a renaissance fair.	Kaksi ihmistä tekee demonstraatiota renessanssimessuilla.	4.200000
A woman paints a picture of a large building which can be seen in the background.	Nainen maalaa kuvaa suuresta rakennuksesta, joka näkyy taustalla.	A person paints a picture of a large building which can be seen in the background.	Henkilö maalaa kuvaa suuresta rakennuksesta, joka näkyy taustalla.	4.200000
Some guy sitting on a couch watching television.	Joku kaveri istuu sohvalla katsellen televisiota.	A guy is sitting on the couch watching TV	Kaveri istuu sohvalla katsellen televisiota	5.000000
A woman is posing for a Christmas card.	Nainen poseeraa joulukorttia varten.	A girl is taking a photo.	Tyttö ottaa valokuvaa.	1.200000
Two kids are playing a game of Foosball.	Kaksi lasta pelaa peliä jalkapalloa.	The kids are playing a game with each other.	Lapset pelaavat peliä keskenään.	3.400000
The man is in a deserted field.	Mies on autiolla pellolla.	The man is outside in the field.	Mies on ulkona pellolla.	4.000000
A little boy is drinking from a juice packet.	Pieni poika juo mehupakkauksesta.	A boy is drinking from a juice packet.	Poika juo mehupakkauksesta.	4.800000
A man has his skis ready for the field to get iced out	Miehellä on sukset valmiina pellon jäätymistä varten.	A man on a boat getting ready to pull in his net to see what he caught.	Mies veneessä valmistautuu nostamaan verkkonsa nähdäkseen mitä kiinni.	0.400000
The biker is doing dangerous stunts.	Pyöräilijä tekee vaarallisia temppuja.	A biker is doing stunts.	Pyöräilijä tekee temppuja.	4.400000
A musician is smearing jam on his white guitar at a concert.	Muusikko levittää hilloa valkoiselle kitaralleen konsertissa.	Trombonist playing the her instrument in a band for a parade.	Trombonisti soittaa instrumenttiaan bändissä paraatia varten.	0.400000
A man is working on his farm.	Mies työskentelee maatilallaan.	An old guy is working on his farm and a cow kicks him.	Vanha kaveri työskentelee maatilallaan ja lehmä potkaisee häntä.	2.800000
A pair of young boys in t-shirts are hiding in the woods with one looking aghast.	Pari nuorta poikaa t-paidoissa, joista yksi näyttää yllättyneeltä, on piilossa metsässä	Two smiling little girls playing in a fountain with other people.	Kaksi hymyilevää pientä tyttöä leikkii suihkulähteessä muiden ihmisten kanssa.	0.000000
